t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
-6.37E+00,0.067610742,0.022501109,-0.009503496,0.099615438,0.066832076,0.014708774,0.019576793,-0.002116464,-0.091662908,0.008293001,-0.018679806,0.022788178,0.035079007,-0.026335357,0.025879964,-0.021839259,0.018936688,0.067754983,-0.001646739,0.049281581,-0.046359995,-0.045630803,-0.026047209,0.030306622,0.113054193,-0.01846464,-0.116713052,-0.03568478,-0.004924153,0.031926152,-0.03564434,0.076450396,0.136676921,0.042120751,-0.030761239,-0.057213845,0.004172207,-0.030964552,0.047056426,-0.030482562,0.021579416,0.100015605,-0.039594656,-0.075733515,0.07308962,0.025138705,-0.005236601,0.00965681,-0.022507437,0.003947873
-6.36E+00,0.01951058,0.025782865,0.015089219,-0.04233659,-0.019267805,0.038715925,-0.048407837,-0.050106573,-0.038428919,0.020789363,0.018554239,0.056594416,-0.002317039,0.016712612,-0.041345379,-0.072349215,0.030871633,0.070583958,-0.016055103,0.043268473,0.024682949,-0.062772101,-0.040532024,0.001841445,0.050249008,-0.000146672,-0.017434157,-0.002670734,0.003967983,0.089889463,-0.052124795,-0.039216712,-0.010505905,0.056270611,-0.025191645,0.004327399,-0.040323604,0.06844297,0.061215389,0.050920997,0.049304715,0.076982508,0.003989204,-0.048535681,0.036471937,0.009810475,0.044733727,-0.039890456,0.041082276,-0.028555421
-6.35E+00,-0.026447488,0.014941439,-0.022387973,0.050921884,0.008344443,0.022637357,0.04734271,0.073188822,-0.03544882,-0.045051108,0.118501862,0.013922212,-0.038404462,0.030346068,-0.034628111,0.006519174,0.09113676,-0.066154298,-0.126753816,-0.018348231,-0.014770149,-0.062280072,0.063747124,-0.04716333,-0.089379774,0.085945468,0.074201509,0.038050585,-0.026562792,0.019332864,-0.002783198,7.45E-05,0.129343481,-0.000589636,0.064915105,-0.044440635,0.023994004,-0.045489275,0.003520636,0.00057174,0.009820305,0.03702582,-0.074925168,0.097132917,0.065174565,-0.066546564,-0.00303717,-0.112791016,-0.063067063,0.061449123
-6.35E+00,-0.083467726,-0.093717452,-0.065415652,-0.092834348,-0.002457318,-0.074081991,-0.040289412,0.001835776,0.027611215,0.029628767,-0.022108456,-0.008229313,-0.061215452,-0.018115244,-0.015836207,0.080723255,0.009654219,-0.058659615,0.021009339,0.008698889,-0.104055368,0.103348609,-0.063530268,-0.08011561,0.052866894,0.032679971,-0.010637116,0.007822717,-0.007598381,-0.038749869,-0.133737534,0.042831927,-0.026984608,0.021249548,-0.012500787,-0.040995739,0.088988934,-0.070855671,0.06497198,-0.008774754,0.00330493,-0.045635771,-0.091813043,0.010715291,0.011541943,0.111339644,0.010753563,-0.080330137,-0.003291171,0.047601345
-6.34E+00,-0.026579985,-0.11272934,0.0314092,-0.043994715,0.072857421,0.042357777,-0.022439235,0.02247716,0.132764834,-0.014166603,0.03157242,0.077808646,-0.053592819,0.041767438,0.068521794,0.059503024,0.025164291,-0.032956784,0.037110121,0.005916878,0.048543661,0.016878128,0.06656809,-0.003198502,-0.094865941,0.029661344,-0.007522279,-0.187385831,-0.102768734,0.041034325,0.059013881,0.03499491,-0.062736321,0.03181562,-0.033989174,-0.001306035,0.014740163,0.047002005,0.051313999,-0.044668938,-0.017217131,-0.102001342,0.014622494,0.06886426,-0.049479764,0.006208141,0.03702359,-0.022168902,4.84E-05,-0.027539819
-6.34E+00,-0.079189835,0.05923041,-0.003604993,-0.110596002,0.034174483,-0.044008368,0.003380311,-0.074946114,0.056861584,0.049501806,0.043683424,0.058224354,0.091959089,-0.105217866,0.021461221,-0.064751485,-0.038503317,-0.102925248,-0.057364684,-0.039036565,-0.108735519,0.030657449,-0.035056455,0.024425849,0.098420359,0.069404297,-0.066170192,0.010500849,-0.073252884,-0.060633424,-0.045268704,0.017277407,0.060652198,-0.046492845,-0.017459824,0.148611682,-0.018599722,-0.063539762,0.017179261,0.053410131,0.083667907,-0.006287567,-0.029485956,0.07700616,-0.058970102,0.036306372,-0.017123714,-0.037185439,-0.021734996,0.046126997
-6.33E+00,-0.01041242,0.008433596,-0.124772249,0.089006912,-0.112988346,0.015648761,0.049056597,0.071408047,-0.032327161,0.028457454,0.006515687,0.032078288,0.023591894,0.0416252,0.039298441,0.032893919,0.041948488,0.083333247,-0.047222254,0.068458991,0.062220157,0.054978698,0.008750898,-0.012728424,-0.128599693,0.02531656,-0.090377697,-0.045848739,0.075257717,0.019559968,-0.135320617,0.089389841,0.013068693,-0.005808241,0.083453744,-0.002525364,0.031801927,-0.096895565,0.033261253,-0.039018644,-0.093057795,-0.010330898,-0.039705946,-0.023823237,0.056353634,0.041294384,-0.006010177,-0.081100439,-0.036217651,0.032900147
-6.32E+00,0.075573147,-0.031140006,-0.071914328,0.070177835,-0.001658991,0.02642891,0.001958235,0.003023421,-0.025001128,-0.022798072,0.007059623,0.05199412,0.00889002,0.069643058,-0.140630348,-0.030748442,-0.002677618,0.066169355,0.004301744,0.002631123,-0.064551896,-0.138214529,0.056004384,0.002746138,0.008734943,0.073561218,0.011819278,-0.091679162,0.087142279,-0.078648392,0.054842945,-0.010139321,-0.13205996,-0.0939891,0.093777024,-0.05376036,0.031491257,0.032973334,-0.050496585,-0.020861223,0.052784086,-0.042669859,0.074000208,-0.008361485,0.00432001,0.067712331,0.011647793,0.114874417,0.010116055,0.032370516
-6.32E+00,-0.003367756,0.043119108,-0.039019586,-0.014894486,0.135714884,0.013926421,-0.023543676,0.013410815,-0.019217764,0.08204286,0.001870491,0.073839524,-0.012265644,-0.013461007,-0.030893729,0.011555439,0.040874409,0.077010475,-0.029834815,0.035335655,0.031142122,0.05813924,0.065479036,-0.003928592,-0.104799,0.076873588,-0.000753285,0.015380295,0.057951633,0.015102684,-0.0415977,-0.033318201,-0.0287929,-0.003796224,-0.064587127,-0.061795695,0.001744038,-0.112063832,-0.000822579,-0.045711249,0.049536445,-0.044954701,-0.033211184,-0.163107233,-0.042343996,-0.033588759,0.023721466,-0.140231998,0.004592965,-0.007096366
-6.31E+00,-0.005430205,0.000461304,-0.077265202,-0.005252306,-0.040253861,0.0009222,0.022854889,-0.049206011,-0.076015539,-0.037099253,-0.074413184,0.015589588,-0.002778121,0.053353334,-0.00664541,0.129876682,0.068549133,-0.055817694,0.186203136,0.030155628,0.08247689,-0.019332288,0.007139597,0.028362078,-0.051530258,-0.010565496,0.029192916,0.051182348,0.09145722,-0.00975217,0.043181298,-0.030793678,0.0844036,-0.056136248,0.027011003,-0.049371124,0.00504097,0.035370094,-0.017149511,0.022053578,-0.055785671,-0.033450008,-0.084527574,0.081631231,-0.032583138,-0.072211605,0.00874226,0.044453177,0.008139971,-0.106718068
