date;co2;relative_temp
6/03/1958;315.71;0.1
6/04/1958;317.45;0.01
6/05/1958;317.5;0.08
6/06/1958;316.8;-0.05
6/07/1958;315.86;0.06
6/08/1958;314.93;-0.06
6/09/1958;313.2;-0.03
6/10/1958;313.45;0.04
6/11/1958;313.33;0.02
6/12/1958;314.67;0.01
6/01/1959;315.62;0.06
6/02/1959;316.38;0.09
6/03/1959;316.71;0.19
6/04/1959;317.72;0.16
6/05/1959;318.29;0.06
6/06/1959;318.15;0.02
6/07/1959;316.54;0.06
6/08/1959;314.8;-0.01
6/09/1959;313.84;-0.06
6/10/1959;313.26;-0.09
6/11/1959;314.8;-0.09
6/12/1959;315.58;-0.03
6/01/1960;316.43;-0.01
6/02/1960;316.97;0.14
6/03/1960;317.58;-0.36
6/04/1960;319.02;-0.16
6/05/1960;320.03;-0.08
6/06/1960;319.59;0.01
6/07/1960;318.18;-0.02
6/08/1960;315.91;-0.01
6/09/1960;314.16;0.05
6/10/1960;313.83;0.07
6/11/1960;315;-0.11
6/12/1960;316.19;0.18
6/01/1961;316.93;0.07
6/02/1961;317.7;0.18
6/03/1961;318.54;0.09
6/04/1961;319.48;0.15
6/05/1961;320.58;0.13
6/06/1961;319.77;0.12
6/07/1961;318.57;-0.03
6/08/1961;316.79;0.02
6/09/1961;314.8;0.05
6/10/1961;315.38;0
6/11/1961;316.1;0.03
6/12/1961;317.01;-0.15
6/01/1962;317.94;0.08
6/02/1962;318.56;0.14
6/03/1962;319.68;0.12
6/04/1962;320.63;0.05
6/05/1962;321.01;-0.06
6/06/1962;320.55;0.06
6/07/1962;319.58;-0.02
6/08/1962;317.4;-0.02
6/09/1962;316.26;-0.01
6/10/1962;315.42;-0.03
6/11/1962;316.69;0.06
6/12/1962;317.69;-0.01
6/01/1963;318.74;-0.03
6/02/1963;319.08;0.19
6/03/1963;319.86;-0.13
6/04/1963;321.39;-0.05
6/05/1963;322.25;-0.09
6/06/1963;321.47;0.03
6/07/1963;319.74;0.08
6/08/1963;317.77;0.25
6/09/1963;316.21;0.2
6/10/1963;315.99;0.15
6/11/1963;317.12;0.15
6/12/1963;318.31;0
6/01/1964;319.57;-0.06
6/02/1964;320.04;-0.12
6/03/1964;321.3;-0.22
6/04/1964;322.05;-0.3
6/05/1964;322.25;-0.25
6/06/1964;321.89;-0.07
6/07/1964;320.44;-0.07
6/08/1964;318.7;-0.2
6/09/1964;316.7;-0.28
6/10/1964;316.79;-0.3
6/11/1964;317.79;-0.21
6/12/1964;318.71;-0.3
6/01/1965;319.44;-0.09
6/02/1965;320.44;-0.17
6/03/1965;320.89;-0.11
6/04/1965;322.13;-0.2
6/05/1965;322.16;-0.14
6/06/1965;321.87;-0.08
6/07/1965;321.39;-0.12
6/08/1965;318.81;-0.01
6/09/1965;317.81;-0.15
6/10/1965;317.3;-0.04
6/11/1965;318.87;-0.06
6/12/1965;319.42;-0.05
6/01/1966;320.62;-0.16
6/02/1966;321.59;0
6/03/1966;322.39;0.04
6/04/1966;323.87;-0.13
6/05/1966;324.01;-0.1
6/06/1966;323.75;0.02
6/07/1966;322.39;0.09
6/08/1966;320.37;-0.1
6/09/1966;318.64;-0.01
6/10/1966;318.1;-0.15
6/11/1966;319.79;-0.02
6/12/1966;321.08;-0.06
6/01/1967;322.07;-0.06
6/02/1967;322.5;-0.2
6/03/1967;323.04;0.03
6/04/1967;324.42;-0.05
6/05/1967;325;0.14
6/06/1967;324.09;-0.08
6/07/1967;322.55;0.01
6/08/1967;320.92;0.02
6/09/1967;319.31;-0.04
6/10/1967;319.31;0.06
6/11/1967;320.72;-0.06
6/12/1967;321.96;-0.02
6/01/1968;322.57;-0.23
6/02/1968;323.15;-0.15
6/03/1968;323.89;0.21
6/04/1968;325.02;-0.05
6/05/1968;325.57;-0.1
6/06/1968;325.36;-0.06
6/07/1968;324.14;-0.11
6/08/1968;322.03;-0.11
6/09/1968;320.41;-0.18
6/10/1968;320.25;0.12
6/11/1968;321.31;-0.04
6/12/1968;322.84;-0.14
6/01/1969;324;-0.11
6/02/1969;324.42;-0.14
6/03/1969;325.64;0
6/04/1969;326.66;0.19
6/05/1969;327.34;0.2
6/06/1969;326.76;0.05
6/07/1969;325.88;-0.01
6/08/1969;323.67;0.03
6/09/1969;322.38;0.1
6/10/1969;321.78;0.11
6/11/1969;322.85;0.12
6/12/1969;324.11;0.27
6/01/1970;325.03;0.09
6/02/1970;325.99;0.22
6/03/1970;326.87;0.08
6/04/1970;328.13;0.09
6/05/1970;328.07;-0.05
6/06/1970;327.66;-0.03
6/07/1970;326.35;-0.04
6/08/1970;324.69;-0.11
6/09/1970;323.1;0.11
6/10/1970;323.16;0.05
6/11/1970;323.98;0.01
6/12/1970;325.13;-0.13
6/01/1971;326.17;-0.02
6/02/1971;326.68;-0.2
6/03/1971;327.18;-0.18
6/04/1971;327.78;-0.09
6/05/1971;328.92;-0.06
6/06/1971;328.57;-0.18
6/07/1971;327.34;-0.12
6/08/1971;325.46;-0.03
6/09/1971;323.36;-0.01
6/10/1971;323.57;-0.05
6/11/1971;324.8;-0.04
6/12/1971;326.01;-0.08
6/01/1972;326.77;-0.24
6/02/1972;327.63;-0.17
6/03/1972;327.75;0.02
6/04/1972;329.72;-0.01
6/05/1972;330.07;-0.03
6/06/1972;329.09;0.04
6/07/1972;328.05;0.02
6/08/1972;326.32;0.18
6/09/1972;324.93;0.03
6/10/1972;325.06;0.09
6/11/1972;326.5;0.03
6/12/1972;327.55;0.18
6/01/1973;328.54;0.28
6/02/1973;329.56;0.3
6/03/1973;330.3;0.26
6/04/1973;331.5;0.25
6/05/1973;332.48;0.26
6/06/1973;332.07;0.16
6/07/1973;330.87;0.09
6/08/1973;329.31;0.02
6/09/1973;327.51;0.06
6/10/1973;327.18;0.12
6/11/1973;328.16;0.06
6/12/1973;328.64;-0.06
6/01/1974;329.35;-0.14
6/02/1974;330.71;-0.28
6/03/1974;331.48;-0.05
6/04/1974;332.65;-0.1
6/05/1974;333.2;-0.01
6/06/1974;332.16;-0.05
6/07/1974;331.07;-0.03
6/08/1974;329.12;0.12
6/09/1974;327.32;-0.12
6/10/1974;327.28;-0.07
6/11/1974;328.3;-0.07
6/12/1974;329.58;-0.09
6/01/1975;330.73;0.07
6/02/1975;331.46;0.07
6/03/1975;331.9;0.14
6/04/1975;333.17;0.06
6/05/1975;333.94;0.16
6/06/1975;333.45;-0.02
6/07/1975;331.98;-0.03
6/08/1975;329.95;-0.2
6/09/1975;328.5;-0.03
6/10/1975;328.35;-0.09
6/11/1975;329.37;-0.16
6/12/1975;330.8;-0.17
6/01/1976;331.59;0
6/02/1976;332.75;-0.06
6/03/1976;333.52;-0.21
6/04/1976;334.64;-0.1
6/05/1976;334.77;-0.23
6/06/1976;334;-0.15
6/07/1976;333.06;-0.12
6/08/1976;330.68;-0.18
6/09/1976;328.95;-0.09
6/10/1976;328.75;-0.26
6/11/1976;330.15;-0.06
6/12/1976;331.62;0.09
6/01/1977;332.66;0.18
6/02/1977;333.13;0.2
6/03/1977;334.95;0.25
6/04/1977;336.13;0.27
6/05/1977;336.93;0.3
6/06/1977;336.17;0.25
6/07/1977;334.88;0.23
6/08/1977;332.56;0.19
6/09/1977;331.29;0.02
6/10/1977;331.27;0.04
6/11/1977;332.41;0.2
6/12/1977;333.6;0.05
6/01/1978;334.95;0.08
6/02/1978;335.25;0.14
6/03/1978;336.66;0.21
6/04/1978;337.69;0.15
6/05/1978;338.03;0.07
6/06/1978;338.01;-0.03
6/07/1978;336.41;0.07
6/08/1978;334.41;-0.18
6/09/1978;332.37;0.05
6/10/1978;332.41;0
6/11/1978;333.75;0.16
6/12/1978;334.9;0.11
6/01/1979;336.14;0.14
6/02/1979;336.69;-0.09
6/03/1979;338.27;0.19
6/04/1979;338.95;0.13
6/05/1979;339.21;0.06
6/06/1979;339.26;0.14
6/07/1979;337.54;0.03
6/08/1979;335.75;0.14
6/09/1979;333.98;0.27
6/10/1979;334.19;0.26
6/11/1979;335.31;0.29
6/12/1979;336.81;0.47
6/01/1980;337.9;0.3
6/02/1980;338.34;0.42
6/03/1980;340.01;0.29
6/04/1980;340.93;0.32
6/05/1980;341.48;0.34
6/06/1980;341.33;0.16
6/07/1980;339.4;0.28
6/08/1980;337.7;0.24
6/09/1980;336.19;0.21
6/10/1980;336.15;0.2
6/11/1980;337.27;0.3
6/12/1980;338.32;0.21
6/01/1981;339.29;0.56
6/02/1981;340.55;0.41
6/03/1981;341.61;0.48
6/04/1981;342.53;0.32
6/05/1981;343.03;0.25
6/06/1981;342.54;0.31
6/07/1981;340.78;0.35
6/08/1981;338.44;0.35
6/09/1981;336.95;0.17
6/10/1981;337.08;0.13
6/11/1981;338.58;0.21
6/12/1981;339.88;0.4
