Fp1;F3;F7;T3;P3;T5;O1
0.23525804;0.43764123;1.546209663;1.293785525;1.384715172;1.235643645;1.646632301
0.324022786;0.850006927;-0.371724575;1.427152377;-1.84524128;1.927218709;1.037956442
0.456145383;1.145439986;-0.188143714;1.933817169;2.217075342;2.358377148;1.551628591
0.547285595;0.8721649;-0.042212382;1.925325037;2.439939096;1.748093397;1.853422459
0.609410706;0.499944252;2.72070632;0.982170196;-0.591433159;1.751609974;1.476070658
0.510044156;0.797997565;2.227276772;1.425423745;2.682759786;1.315614426;1.686987716
0.731524524;1.088853941;3.292375088;1.229247669;0.843172339;1.324647598;1.329160555
0.274502396;0.699559444;1.982033111;1.628264671;-0.367619061;1.602745775;1.052760283
0.528322525;0.337779121;-1.004390665;1.258154238;-0.271066503;1.413984188;1.175084175
0.358427557;0.194554602;0.730332788;1.340680576;2.339014536;1.309579634;1.185349789
0.171483781;0.625491863;0.461436955;1.676038619;2.370468829;1.924588868;1.791056776
0.755051453;0.381621358;0.082804517;2.084798032;0.719671623;1.55481856;0.888346512
0.829759628;0.209294868;1.876323939;1.652342809;0.141263944;1.573458319;0.978347565
0.375877804;0.33209697;-0.115881737;2.374386487;1.962337844;2.091062976;1.363949296
0.420790996;0.590564662;1.469878008;1.363438911;1.108758264;1.81131511;1.309448676
0.647328734;0.368463502;-1.426899923;1.773124019;-0.479017473;2.08668214;1.421158393
0.790528466;0.372647777;-0.570365579;2.582891004;-0.354152664;1.639595192;0.977816205
0.517574381;0.899838374;-1.316219858;1.580498959;1.332014612;1.202523054;1.153555803
0.401896351;0.583612065;1.026678714;2.762869488;1.032089729;2.233479927;1.648129654
0.937132167;0.376554577;1.122849609;1.332555881;0.709026214;1.834998556;1.359592132
0.202880074;1.203913911;0.317730022;2.114487238;0.842951706;3.278711546;0.789955964
0.620254188;0.39677171;-0.049378343;2.202153614;1.00692437;1.359423986;1.538559429
0.516480325;0.663743825;-1.09993621;1.789040048;0.028635838;2.297257394;0.944112384
0.842964275;0.232886017;-0.955141006;1.420951531;0.719112589;1.837140716;1.590172435
0.493550938;0.986702569;-1.113134292;2.363521638;1.566808336;1.170699028;0.824436995
0.489795882;0.498128298;0.24496349;1.023226547;1.391639261;1.703521321;1.043035007
0.801212128;0.216141178;0.744580989;1.539632829;2.525243843;2.73915173;1.322775861
0.296674244;0.761882415;0.83412348;2.268662829;1.368075287;2.329554328;1.728487838
0.732410905;0.444924342;2.069143036;1.615987648;0.014974588;2.029327108;1.463611249
0.78471966;0.688935736;1.918134364;1.687198275;-0.279526753;1.806946709;0.841618946
0.262502689;0.833011349;0.722592431;2.288803461;0.662875371;1.158663281;1.745477017
0.351735095;0.787641056;0.403322581;1.532107257;1.622245286;1.721283334;1.753755488
0.539038129;0.564066752;1.320026566;1.708166366;0.348030284;1.235697992;1.302176812
0.273318784;0.494286757;2.400628624;3.597134791;2.642863544;1.477762027;1.122688263
0.265746778;0.68125215;2.023823437;1.888651246;0.326194175;1.698820884;1.608016725
0.742979239;1.261014751;-0.686896678;1.230371606;1.386322873;1.615466551;1.235977075
0.939166654;0.529751248;0.023733873;1.581125079;-0.204103506;1.68839406;1.468095064
0.793759773;0.107699809;-0.123438373;1.246193568;-0.247276016;1.529342152;1.263426742
0.613704319;0.36571582;0.984271873;1.597872285;-0.272762192;2.090828103;1.362027955
0.522047855;0.90635541;0.515690068;1.93843758;-0.517946148;2.436223959;1.736355219
0.37640354;0.500897652;-0.381672778;1.42475622;1.720250773;1.768472504;1.588015476
0.455508228;1.044856191;2.492317823;1.524121913;1.082618099;1.894163537;1.249644332
0.492234662;0.333790858;2.06222511;1.754145188;-0.177052753;1.349938209;1.073146101
0.539121287;0.537485549;-0.285952421;1.606587123;1.681532463;1.402731082;1.837626693
0.201200134;0.326610603;1.695941786;2.381602533;0.543987652;1.74131739;1.80536399
0.599406543;0.529578395;1.295688721;1.043025108;2.0447811;2.713702647;1.4457272
0.137217677;0.225441118;0.075670485;1.331261477;1.54252198;1.501735845;1.829959144
0.549158725;0.679831536;1.651350229;1.639801027;1.104343662;2.085931911;1.654245158
0.19311107;0.792390215;1.694587991;1.359137917;1.405635839;2.136901139;1.750413648
0.674657927;1.89294075;1.594183398;1.363202204;-1.578250376;1.860323304;1.219264803
0.344843331;0.32545152;-0.140929058;1.308109147;0.969191479;1.179892033;1.33826669
0.272348468;0.301164451;0.462887229;1.30545096;1.099727449;1.060690055;1.051269903
0.535429205;0.515439529;0.283269109;2.205531991;2.859849213;1.644528923;1.084807504
0.342404087;0.962038005;1.233921878;1.248953534;-0.265240031;2.791941219;1.695460489
0.494501982;0.373032962;-0.451854128;1.79838347;1.549367553;1.99115761;1.569782619
0.587233875;0.750166698;1.470755896;1.570696816;1.102017209;1.61612236;1.554921816
0.751268634;0.965499654;2.593232522;1.323266662;2.122535355;1.351998491;1.751644246
0.336931447;0.440157544;0.906560585;1.35719179;0.068872282;1.983150969;0.940663713
0.622564017;0.644162747;1.190108827;2.151113291;1.695236705;2.332015069;1.614802242
0.572543727;0.510682271;-0.462397026;2.231269736;0.87301118;1.827836624;0.705503862
0.697938541;0.762856493;0.134800548;1.867830909;0.005496875;1.273439282;1.627672337
0.947001431;0.356097492;-0.915152341;1.309677774;0.899488257;2.24123164;1.074255033
0.897325125;1.091879754;-0.086011443;1.412747998;1.366029597;2.041046447;1.523928482
0.726769683;0.153288801;-0.667257965;1.588118936;-0.989668673;2.193706613;1.585347531
0.171534485;0.890802376;1.949262961;1.662846616;1.017703446;1.230844956;1.108383934
0.75534719;0.187623038;0.718699779;0.907562967;1.262960729;1.233236724;1.66059391
0.228783613;0.377014514;-0.691836419;1.811961874;0.683612756;1.754375567;1.565621395
0.240025275;0.699925543;-1.054083372;1.336121202;0.970682881;1.321621874;1.220165515
0.368161899;0.963373705;-0.092830529;1.793656699;0.795820763;1.603901074;1.742591697
0.560766587;0.640285549;0.406519807;1.727251409;1.187698532;1.921643072;1.547512674
0.388758015;1.169852922;1.827622973;1.069980926;0.550244061;1.965024418;1.415945342
0.628742719;0.67679183;0.213219828;1.617766053;1.135249486;1.287222061;1.335446318
0.314454607;0.171459182;-0.57947825;3.287434652;0.817801989;1.381468887;1.373942625
0.23753836;0.906243769;2.626910331;1.430792626;-0.368560691;2.496468609;1.67233005
0.801629811;0.42280054;1.815368763;2.228946519;0.503876791;1.905709995;1.012018235
0.91390639;0.510690132;0.743586255;1.564541973;0.563667356;1.270558456;1.437672357
0.609684491;0.476643544;5.567628204;1.900359593;1.06746306;1.204700456;1.173379359
0.276950643;0.701010532;-0.41969669;1.181058745;1.579483295;1.4095141;2.078681814
0.345487637;0.952562017;-0.611909142;1.578332874;1.17487736;1.795793083;1.506040123
0.164554721;0.177368027;0.799856178;2.55913585;0.335636085;1.283422603;1.265413682
0.569154956;0.755455118;3.543494467;1.456392571;0.578434595;2.006796128;1.097148071
0.803629801;0.638533268;0.427827995;1.278726854;2.224182222;1.31676251;1.329183775
0.099672209;0.906934715;-0.081358528;1.160534972;0.149362259;1.393695088;1.493900973
0.261880573;0.729692604;1.071043436;2.093207284;0.908884952;0.892850211;1.515079055
0.42748396;0.329317302;0.177617165;1.720680839;1.176412532;1.65180933;1.45205972
0.663553904;0.758519288;4.058105427;1.62071393;1.440739319;1.234448589;1.237685576
0.365008214;0.660071093;-0.995908641;1.19811901;0.866174963;1.041818918;1.030143877
0.32056108;0.800572795;0.941287597;1.184772382;1.480534374;2.037045699;1.177974174
